,Male,Female,Infant,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
72,0,1,0,0.595,0.475,0.17,1.247,0.35964255319148886,0.225,0.425,4
73,1,0,0,0.57,0.48,0.175,1.185,0.474,0.261,0.38,2
74,0,1,0,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,3
75,0,1,0,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,3
76,1,0,0,0.595,0.475,0.14,0.9440000000000001,0.3625,0.189,0.315,2
77,0,1,0,0.525,0.47,0.15,0.922,0.363,0.194,0.305,2
78,0,1,0,0.555,0.425,0.14,0.7879999999999999,0.282,0.1595,0.285,2
79,0,1,0,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.23858005319148942,3
80,0,1,0,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,2
81,1,0,0,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,2
82,0,1,0,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,3
83,1,0,0,0.595,0.4074002659574476,0.16,1.3175,0.408,0.234,0.58,4
84,1,0,0,0.58,0.45,0.14,1.013,0.38,0.216,0.36,3
85,0,1,0,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,2
86,1,0,0,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,3
87,1,0,0,0.56,0.4074002659574476,0.16,0.8645,0.3305,0.2075,0.23858005319148942,2
88,0,1,0,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,2
89,0,1,0,0.575,0.4074002659574476,0.16,0.9775,0.3135,0.1807223404255324,0.33,2
90,1,0,0,0.565,0.425,0.135,0.828341090425534,0.341,0.1675,0.255,3
91,1,0,0,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,2
92,1,0,0,0.595,0.465,0.175,1.115,0.4015,0.254,0.23858005319148942,3
93,0,1,0,0.625,0.495,0.165,1.262,0.507,0.318,0.39,2
94,1,0,0,0.695,0.56,0.13971941489361667,1.494,0.588,0.3425,0.485,3
95,1,0,0,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,3
96,1,0,0,0.535,0.435,0.15,0.828341090425534,0.269,0.1385,0.25,2
97,1,0,0,0.47,0.375,0.13,0.523,0.214,0.132,0.145,2
98,1,0,0,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,2
99,0,1,0,0.475,0.375,0.125,0.5785,0.2775,0.085,0.23858005319148942,2
100,0,0,1,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,2
101,1,0,0,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,3
102,1,0,0,0.53,0.435,0.16,0.828341090425534,0.316,0.164,0.335,3
103,1,0,0,0.53,0.415,0.14,0.7240000000000001,0.3105,0.1675,0.205,2
104,1,0,0,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,2
105,0,1,0,0.525,0.41,0.155,0.727,0.291,0.1835,0.23858005319148942,2
106,0,1,0,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,2
107,0,1,0,0.525,0.4,0.125,0.6675,0.261,0.1315,0.22,2
108,0,1,0,0.525,0.39,0.135,0.6335,0.231,0.179,0.2,2
109,0,1,0,0.435,0.395,0.105,0.828341090425534,0.136,0.1807223404255324,0.13,2
110,1,0,0,0.495,0.4074002659574476,0.125,0.5415,0.2375,0.1345,0.155,2
111,1,0,0,0.465,0.36,0.105,0.431,0.172,0.107,0.175,2
112,0,0,1,0.435,0.32,0.13971941489361667,0.828341090425534,0.1485,0.0635,0.105,2
113,1,0,0,0.425,0.35,0.13971941489361667,0.393,0.13,0.063,0.165,2
114,0,1,0,0.545,0.41,0.125,0.6935,0.35964255319148886,0.146,0.21,2
115,0,1,0,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,2
116,0,1,0,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,2
117,1,0,0,0.44,0.34,0.105,0.402,0.1305,0.0955,0.23858005319148942,2
118,0,1,0,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,2
119,1,0,0,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,2
120,0,1,0,0.525,0.365,0.105,0.4205,0.163,0.1035,0.14,2
121,0,0,1,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,2
122,0,1,0,0.515,0.425,0.14,0.7659999999999999,0.304,0.1725,0.255,3
123,1,0,0,0.37,0.265,0.13971941489361667,0.214,0.09,0.051,0.07,1
124,0,0,1,0.36,0.28,0.08,0.1755,0.35964255319148886,0.0505,0.07,1
125,0,0,1,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,1
126,0,0,1,0.525,0.275,0.09,0.238,0.1075,0.0545,0.23858005319148942,1
127,0,0,1,0.385,0.29,0.085,0.2505,0.112,0.061,0.23858005319148942,2
128,1,0,0,0.7,0.535,0.16,1.7255,0.63,0.2635,0.23858005319148942,4
129,1,0,0,0.71,0.4074002659574476,0.165,1.959,0.7665,0.261,0.78,3
130,1,0,0,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,3
131,0,1,0,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,2
132,0,1,0,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,2
133,0,0,1,0.35,0.26,0.095,0.211,0.35964255319148886,0.05599999999999999,0.068,2
134,0,0,1,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,2
135,0,1,0,0.425,0.4074002659574476,0.115,0.828341090425534,0.1635,0.1807223404255324,0.1355,2
136,0,1,0,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,2
137,1,0,0,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,2
138,0,1,0,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,2
139,1,0,0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,2
140,0,1,0,0.565,0.445,0.155,0.826,0.341,0.2055,0.23858005319148942,2
141,0,1,0,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,2
142,1,0,0,0.65,0.52,0.19,1.3445,0.519,0.1807223404255324,0.4465,3
143,1,0,0,0.56,0.455,0.155,0.797,0.34,0.19,0.23858005319148942,2
144,1,0,0,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,2
145,0,1,0,0.49,0.38,0.125,0.5489999999999999,0.245,0.1075,0.174,2
146,1,0,0,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,2
147,0,0,1,0.28,0.205,0.08,0.127,0.052,0.039,0.042,2
148,0,0,1,0.175,0.13,0.13971941489361667,0.0315,0.0105,0.0065,0.0125,1
149,0,0,1,0.17,0.13,0.095,0.03,0.013,0.008,0.01,1
150,1,0,0,0.525,0.475,0.145,1.053,0.4415,0.262,0.325,3
151,0,1,0,0.605,0.5,0.13971941489361667,1.1185,0.469,0.2585,0.23858005319148942,2
152,0,1,0,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,2
153,0,1,0,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,2
154,0,1,0,0.565,0.45,0.135,0.9885,0.387,0.1495,0.23858005319148942,2
155,1,0,0,0.515,0.4074002659574476,0.13,0.722,0.32,0.131,0.21,2
156,0,1,0,0.575,0.46,0.19,0.9940000000000001,0.392,0.2425,0.34,3
157,1,0,0,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,3
158,0,1,0,0.58,0.455,0.13971941489361667,0.9075,0.35964255319148886,0.2135,0.285,3
159,0,1,0,0.575,0.4074002659574476,0.165,1.124,0.35964255319148886,0.1785,0.44,3
160,1,0,0,0.605,0.4074002659574476,0.165,1.056,0.4215,0.2475,0.23858005319148942,3
161,0,1,0,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,3
162,1,0,0,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,2
163,0,1,0,0.725,0.56,0.21,2.141,0.65,0.1807223404255324,1.005,3
164,0,1,0,0.65,0.4074002659574476,0.23,0.828341090425534,0.5605,0.2895,0.815,3
165,1,0,0,0.725,0.57,0.19,2.55,0.35964255319148886,0.483,0.725,3
166,0,1,0,0.725,0.575,0.175,2.124,0.765,0.4515,0.23858005319148942,4
167,0,1,0,0.68,0.57,0.205,1.842,0.625,0.408,0.65,4
168,1,0,0,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,3
169,0,1,0,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,2
170,1,0,0,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,3
171,0,1,0,0.53,0.395,0.145,0.775,0.35964255319148886,0.169,0.255,2
172,1,0,0,0.525,0.4074002659574476,0.13971941489361667,1.065,0.486,0.233,0.285,2
173,0,1,0,0.52,0.405,0.115,0.7759999999999999,0.35964255319148886,0.1845,0.22,2
174,0,0,1,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,1
175,0,0,1,0.36,0.4074002659574476,0.09,0.1785,0.0645,0.03700000000000001,0.075,2
176,0,0,1,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,1
177,0,0,1,0.525,0.245,0.085,0.1435,0.053,0.0475,0.05,2
178,0,0,1,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,1
179,1,0,0,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,2
180,1,0,0,0.525,0.48,0.18,0.9395,0.399,0.2,0.295,3
181,1,0,0,0.64,0.4074002659574476,0.175,0.828341090425534,0.515,0.266,0.57,4
182,0,1,0,0.56,0.45,0.16,0.828341090425534,0.429,0.268,0.3,2
183,0,1,0,0.62,0.475,0.175,1.0165,0.35964255319148886,0.214,0.23858005319148942,2
184,0,1,0,0.645,0.51,0.2,1.5675,0.621,0.1807223404255324,0.46,2
185,1,0,0,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,3
186,0,1,0,0.63,0.48,0.15,1.0525,0.392,0.1807223404255324,0.285,2
187,0,1,0,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,2
188,0,1,0,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,2
189,0,1,0,0.525,0.46,0.17,0.9325,0.365,0.271,0.29,2
190,1,0,0,0.615,0.4074002659574476,0.18,1.1595,0.4845,0.2165,0.325,3
191,1,0,0,0.61,0.485,0.17,1.0225,0.35964255319148886,0.2405,0.36,2
192,1,0,0,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,3
193,0,0,1,0.355,0.275,0.085,0.22,0.092,0.06,0.15,2
194,0,1,0,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,2
195,1,0,0,0.5,0.405,0.155,0.772,0.346,0.1807223404255324,0.245,2
196,0,1,0,0.505,0.41,0.15,0.644,0.285,0.145,0.21,2
197,1,0,0,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,3
198,1,0,0,0.56,0.4074002659574476,0.16,0.922,0.4320000000000001,0.178,0.26,3
199,1,0,0,0.585,0.4074002659574476,0.185,0.922,0.3635,0.213,0.285,2
200,0,1,0,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,2
201,1,0,0,0.5,0.4,0.165,0.825,0.35964255319148886,0.205,0.285,3
202,0,1,0,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,2
203,0,1,0,0.53,0.435,0.13971941489361667,0.8155,0.2985,0.155,0.275,3
204,1,0,0,0.42,0.335,0.115,0.369,0.171,0.071,0.12,2
205,0,1,0,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,2
206,0,0,1,0.4,0.3,0.11,0.315,0.109,0.067,0.12,2
207,0,0,1,0.435,0.4074002659574476,0.11,0.3795,0.1495,0.1807223404255324,0.12,2
208,0,1,0,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,3
209,0,0,1,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,2
210,0,1,0,0.49,0.365,0.13971941489361667,0.6345,0.1995,0.1625,0.22,2
211,1,0,0,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,2
212,0,1,0,0.415,0.325,0.13971941489361667,0.38,0.1595,0.0785,0.12,2
213,1,0,0,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,2
214,0,1,0,0.485,0.395,0.16,0.66,0.35964255319148886,0.128,0.235,3
215,1,0,0,0.55,0.405,0.13971941489361667,0.8025,0.244,0.1635,0.255,2
216,1,0,0,0.45,0.35,0.13971941489361667,0.46,0.174,0.111,0.135,2
217,0,0,1,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,2
218,1,0,0,0.47,0.36,0.135,0.828341090425534,0.1665,0.115,0.23858005319148942,2
219,0,1,0,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,2
220,0,1,0,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,2
221,0,1,0,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,2
222,0,1,0,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,2
223,0,1,0,0.445,0.355,0.15,0.485,0.181,0.125,0.155,2
224,0,0,1,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,2
225,0,1,0,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,2
226,0,1,0,0.39,0.29,0.125,0.3055,0.121,0.08199999999999999,0.09,2
227,0,0,1,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,2
228,0,1,0,0.58,0.465,0.165,1.1015,0.35964255319148886,0.2095,0.35,2
229,0,1,0,0.53,0.415,0.16,0.7829999999999999,0.2935,0.158,0.23858005319148942,3
230,1,0,0,0.555,0.445,0.13971941489361667,0.836,0.336,0.1807223404255324,0.275,3
231,1,0,0,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,3
232,1,0,0,0.625,0.505,0.215,0.828341090425534,0.496,0.287,0.23858005319148942,4
233,0,0,1,0.275,0.215,0.075,0.828341090425534,0.0485,0.1807223404255324,0.035,2
234,0,0,1,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,2
235,0,0,1,0.295,0.225,0.08,0.828341090425534,0.35964255319148886,0.032,0.04,2
236,0,0,1,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1
237,0,0,1,0.13,0.1,0.03,0.013,0.0045,0.003,0.23858005319148942,1
238,0,0,1,0.525,0.4074002659574476,0.03,0.008,0.0025,0.002,0.003,1
239,0,0,1,0.16,0.12,0.035,0.021,0.35964255319148886,0.0045,0.23858005319148942,1
240,1,0,0,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,3
241,0,0,1,0.27,0.2,0.07,0.1,0.034,0.1807223404255324,0.035,1
242,0,0,1,0.23,0.175,0.065,0.0645,0.026,0.0105,0.23858005319148942,1
243,0,0,1,0.3,0.23,0.08,0.1275,0.0435,0.1807223404255324,0.23858005319148942,2
244,0,0,1,0.33,0.255,0.085,0.1655,0.063,0.039,0.23858005319148942,2
245,0,0,1,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,2
246,0,0,1,0.32,0.245,0.08,0.1585,0.35964255319148886,0.0325,0.05,3
247,0,0,1,0.36,0.4074002659574476,0.085,0.1975,0.0745,0.0415,0.07,2
248,0,0,1,0.305,0.4074002659574476,0.075,0.156,0.0675,0.038,0.045,2
249,0,0,1,0.345,0.27,0.13971941489361667,0.2135,0.08199999999999999,0.0545,0.07,2
250,0,0,1,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,2
251,1,0,0,0.59,0.47,0.18,1.1235,0.35964255319148886,0.2805,0.36,3
252,0,1,0,0.525,0.455,0.155,1.0605,0.5135,0.2165,0.3,2
253,0,1,0,0.575,0.46,0.185,0.828341090425534,0.4485,0.217,0.345,3
254,1,0,0,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,3
255,1,0,0,0.56,0.45,0.175,1.011,0.3835,0.2065,0.23858005319148942,3
256,1,0,0,0.56,0.4074002659574476,0.13971941489361667,1.07,0.3805,0.175,0.23858005319148942,4
257,1,0,0,0.545,0.46,0.16,0.828341090425534,0.341,0.1655,0.345,2
258,0,1,0,0.635,0.505,0.17,0.828341090425534,0.605,0.297,0.365,3
259,0,1,0,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,3
260,0,1,0,0.54,0.475,0.155,0.9279999999999999,0.394,0.194,0.23858005319148942,2
261,0,1,0,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,2
262,1,0,0,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,2
263,0,0,1,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,1
264,1,0,0,0.27,0.4074002659574476,0.08,0.1205,0.0465,0.028,0.04,1
265,0,1,0,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,2
266,1,0,0,0.52,0.45,0.15,0.895,0.35964255319148886,0.186,0.235,3
267,1,0,0,0.35,0.275,0.11,0.828341090425534,0.1225,0.0635,0.0905,2
268,1,0,0,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,2
269,0,1,0,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,3
270,0,1,0,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,4
271,1,0,0,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,3
272,1,0,0,0.62,0.4074002659574476,0.205,1.219,0.3875,0.2505,0.385,3
273,1,0,0,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,3
274,1,0,0,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,3
275,1,0,0,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,4
276,0,1,0,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,2
277,1,0,0,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,3
278,1,0,0,0.635,0.525,0.13971941489361667,1.484,0.55,0.3115,0.43,4
279,0,1,0,0.525,0.425,0.135,0.7120000000000001,0.2665,0.1605,0.25,2
280,0,1,0,0.535,0.415,0.185,0.8415,0.35964255319148886,0.1585,0.3,3
281,0,0,1,0.36,0.4074002659574476,0.105,0.828341090425534,0.0915,0.057,0.075,2
282,0,1,0,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,2
283,1,0,0,0.485,0.395,0.14,0.6295,0.2285,0.1807223404255324,0.225,3
284,1,0,0,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,3
285,0,1,0,0.535,0.415,0.17,0.828341090425534,0.295,0.1965,0.285,2
286,1,0,0,0.525,0.435,0.155,0.6990000000000001,0.288,0.1595,0.205,2
287,0,1,0,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,3
288,1,0,0,0.44,0.355,0.13971941489361667,0.4775,0.132,0.0815,0.19,2
289,0,1,0,0.525,0.435,0.16,0.8105,0.3155,0.1795,0.24,2
290,1,0,0,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,3
291,0,1,0,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,2
292,1,0,0,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,3
293,0,1,0,0.565,0.455,0.175,1.013,0.342,0.207,0.35,4
294,1,0,0,0.6,0.4074002659574476,0.195,1.0575,0.384,0.19,0.23858005319148942,5
295,0,0,1,0.295,0.215,0.085,0.128,0.049,0.034,0.04,1
296,0,0,1,0.275,0.205,0.075,0.1105,0.045,0.1807223404255324,0.035,1
297,0,0,1,0.28,0.4074002659574476,0.085,0.1065,0.039,0.0295,0.03,1
298,1,0,0,0.49,0.395,0.13971941489361667,0.5489999999999999,0.2215,0.1275,0.15,2
299,1,0,0,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,2
300,0,1,0,0.405,0.305,0.13971941489361667,0.3485,0.1455,0.0895,0.23858005319148942,2
301,0,1,0,0.54,0.4074002659574476,0.175,0.892,0.322,0.174,0.335,3
302,1,0,0,0.37,0.28,0.1,0.252,0.1065,0.0595,0.07400000000000001,2
303,1,0,0,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,1
304,0,1,0,0.47,0.36,0.13,0.472,0.182,0.114,0.15,2
305,0,0,1,0.2,0.145,0.06,0.828341090425534,0.0125,0.0095,0.011,1
306,0,0,1,0.525,0.12,0.03,0.0215,0.006999999999999999,0.1807223404255324,0.005,1
307,1,0,0,0.645,0.515,0.24,1.5415,0.35964255319148886,0.369,0.535,3
308,1,0,0,0.55,0.41,0.125,0.7605,0.2505,0.1807223404255324,0.195,3
309,1,0,0,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.23858005319148942,2
310,0,1,0,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,4
311,1,0,0,0.56,0.44,0.13971941489361667,0.971,0.4429999999999999,0.2045,0.265,3
312,1,0,0,0.595,0.455,0.13971941489361667,1.3305,0.4595,0.1807223404255324,0.345,4
313,0,1,0,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,4
314,1,0,0,0.63,0.485,0.175,1.3,0.4335,0.2945,0.23858005319148942,4
315,0,0,1,0.45,0.355,0.11,0.4585,0.194,0.067,0.14,2
316,0,1,0,0.525,0.535,0.13971941489361667,1.242,0.5760000000000001,0.2475,0.39,3
317,1,0,0,0.525,0.35,0.1,0.3675,0.1465,0.1807223404255324,0.12,2
318,0,1,0,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,3
319,0,0,1,0.33,0.255,0.095,0.828341090425534,0.066,0.0255,0.06,1
320,0,0,1,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,1
321,0,0,1,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,1
322,1,0,0,0.385,0.4074002659574476,0.1,0.2845,0.1065,0.075,0.23858005319148942,2
323,0,0,1,0.265,0.205,0.13971941489361667,0.1055,0.039,0.04099999999999999,0.23858005319148942,1
324,1,0,0,0.335,0.265,0.105,0.222,0.0935,0.05599999999999999,0.075,2
325,0,0,1,0.355,0.275,0.09,0.251,0.09699999999999999,0.053,0.08,2
326,0,0,1,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,2
